x,y,species cloglog values
1.0,1.0,0.59197575
2.0,2.0,0.53486866
3.0,3.0,0.5871506
4.0,4.0,0.56775296
5.0,5.0,0.60110754
6.0,6.0,0.6239487
7.0,7.0,0.6086908
8.0,8.0,0.61430717
9.0,9.0,0.65717214
10.0,10.0,0.5598227
11.0,11.0,0.5634383
12.0,12.0,0.60479176
13.0,13.0,0.65852594
14.0,14.0,0.6490098
15.0,15.0,0.65833026
16.0,16.0,0.56760794
17.0,17.0,0.62099
18.0,18.0,0.5608023
19.0,19.0,0.6431274
20.0,20.0,0.55190754
21.0,21.0,0.50749266
22.0,22.0,0.5832243
23.0,23.0,0.58429456
24.0,24.0,0.76629114
25.0,25.0,0.5197869
26.0,26.0,0.620516
27.0,27.0,0.57385254
28.0,28.0,0.7313626
29.0,29.0,0.5066712
30.0,30.0,0.63001466
31.0,31.0,0.63220584
32.0,32.0,0.54802644
33.0,33.0,0.5307597
34.0,34.0,0.68713045
35.0,35.0,0.7259981
36.0,36.0,0.5099915
37.0,37.0,0.6818403
38.0,38.0,0.674591
39.0,39.0,0.52367556
40.0,40.0,0.58536524
41.0,41.0,0.5636313
42.0,42.0,0.57012314
43.0,43.0,0.5038237
44.0,44.0,0.5969053
45.0,45.0,0.5174873
46.0,46.0,0.6501695
47.0,47.0,0.69820255
48.0,48.0,0.5214946
49.0,49.0,0.503901
50.0,50.0,0.5464158
51.0,51.0,0.7664119
52.0,52.0,0.5908054
53.0,53.0,0.5886932
54.0,54.0,0.50701207
55.0,55.0,0.6057051
56.0,56.0,0.5613646
57.0,57.0,0.520429
58.0,58.0,0.56988114
59.0,59.0,0.65464294
60.0,60.0,0.7652333
61.0,61.0,0.5543715
62.0,62.0,0.548537
63.0,63.0,0.57897943
