x,y,species cloglog values
1.0,1.0,0.51439947
2.0,2.0,0.5508043
3.0,3.0,0.6232841
4.0,4.0,0.49244097
5.0,5.0,0.54152346
6.0,6.0,0.76652795
7.0,7.0,0.7105303
8.0,8.0,0.5278579
9.0,9.0,0.7139115
10.0,10.0,0.6516005
11.0,11.0,0.49296966
12.0,12.0,0.71108127
13.0,13.0,0.5968658
14.0,14.0,0.64829564
15.0,15.0,0.64748937
16.0,16.0,0.6111085
17.0,17.0,0.5257607
18.0,18.0,0.5133226
19.0,19.0,0.5026059
20.0,20.0,0.6574
21.0,21.0,0.6553064
22.0,22.0,0.7723903
23.0,23.0,0.67034245
24.0,24.0,0.4946329
25.0,25.0,0.5629882
26.0,26.0,0.5568076
27.0,27.0,0.62965876
28.0,28.0,0.56688035
29.0,29.0,0.5784365
30.0,30.0,0.49183708
31.0,31.0,0.6365183
32.0,32.0,0.62473637
33.0,33.0,0.7394133
34.0,34.0,0.50703406
35.0,35.0,0.6770763
36.0,36.0,0.49191254
37.0,37.0,0.5850746
38.0,38.0,0.678037
39.0,39.0,0.6914482
40.0,40.0,0.5776378
41.0,41.0,0.5646554
42.0,42.0,0.49213898
43.0,43.0,0.56409955
44.0,44.0,0.540269
45.0,45.0,0.59911597
46.0,46.0,0.56966466
47.0,47.0,0.6136067
48.0,48.0,0.60482705
49.0,49.0,0.65723896
50.0,50.0,0.6761153
51.0,51.0,0.5856351
52.0,52.0,0.50451255
53.0,53.0,0.55332965
