Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
4.05704E-3,0.405704232,0.491837085,1,0,0
4.05793E-3,0.811497474,0.491912552,0.99408284,0,0
4.0606E-3,1.217557861,0.492138985,0.98816568,0,0
4.06417E-3,1.623974718,0.492440971,0.982248521,0,0
4.07041E-3,2.031016147,0.49296965,0.976331361,0,0
4.09011E-3,2.440026775,0.494632907,0.970414201,0,0
4.18541E-3,2.858567894,0.502605925,0.964497041,0,0
4.20843E-3,3.279410717,0.504512551,0.958579882,0,0
4.239E-3,3.703311184,0.507034063,0.952662722,0,0
4.31595E-3,4.134905961,0.513322618,0.946745562,0,0
4.32922E-3,4.567828289,0.514399481,0.940828402,0,0
4.47111E-3,5.014938859,0.525760732,0.934911243,0,0
4.49767E-3,5.464705536,0.527857885,0.928994083,0,0
4.65731E-3,5.930436903,0.540268997,0.923076923,0,0
4.67369E-3,6.397805832,0.541523459,0.917159763,0,0
4.79625E-3,6.877430937,0.550804315,0.911242604,0,0
4.83004E-3,7.360434801,0.553329644,0.905325444,0,0
4.87689E-3,7.848123355,0.556807575,0.899408284,0,0
4.96105E-3,8.344228535,0.562988215,0.893491124,0,0
4.97631E-3,8.841859695,0.564099532,0.887573964,0,0
4.98396E-3,9.340255604,0.564655409,0.881656805,0,0
5.01467E-3,9.841722282,0.566880343,0.875739645,0,0
5.05332E-3,10.347054038,0.569664641,0.869822485,0,0
5.08445E-3,10.855499296,0.571894501,0.863905325,0,0
5.1654E-3,11.372039072,0.577637798,0.857988166,0.007936508,0
5.17674E-3,11.889713232,0.578436498,0.852071006,0.015873016,0
5.19722E-3,12.927109725,0.579874756,0.840236686,0.023809524,0
5.20864E-3,13.447973432,0.580674116,0.834319527,0.031746032,0
5.20864E-3,14.489700846,0.580674116,0.816568047,0.031746032,0
5.27186E-3,15.016887061,0.585074608,0.816568047,0.055555556,0
5.27996E-3,15.544883444,0.585635141,0.810650888,0.079365079,0
5.30434E-3,16.075317812,0.58731735,0.804733728,0.079365079,0
5.34054E-3,16.6093717,0.58980223,0.798816568,0.087301587,0
5.44464E-3,17.687889371,0.596865771,0.786982249,0.103174603,0
5.44822E-3,18.232711592,0.597106807,0.781065089,0.103174603,0
5.44942E-3,19.322475567,0.597187156,0.769230769,0.119047619,0
5.45659E-3,20.413076813,0.597669281,0.75739645,0.134920635,0
5.46858E-3,20.95993464,0.598472948,0.75147929,0.142857143,0
5.47818E-3,22.054610858,0.599115993,0.73964497,0.158730159,0
5.54103E-3,22.608714162,0.603298069,0.733727811,0.158730159,0
5.54103E-3,26.487437291,0.603298069,0.686390533,0.158730159,0
5.55442E-3,27.042879308,0.604183218,0.686390533,0.222222222,0
5.56418E-3,27.599296966,0.60482706,0.680473373,0.23015873,0
5.57273E-3,28.156569715,0.605390489,0.674556213,0.23015873,0
5.63419E-3,28.719988594,0.609416671,0.668639053,0.238095238,0
5.63419E-3,31.537082989,0.609416671,0.633136095,0.238095238,0
5.6379E-3,32.100872784,0.60965833,0.633136095,0.285714286,0
5.65524E-3,33.230186547,0.610786198,0.621301775,0.301587302,0
5.65524E-3,35.492282417,0.610786198,0.591715976,0.301587302,0
5.6602E-3,36.058302842,0.611108482,0.591715976,0.341269841,0
5.69883E-3,36.628185614,0.613606699,0.585798817,0.341269841,0
5.73771E-3,37.201957088,0.616105751,0.579881657,0.341269841,0
5.77813E-3,38.927313492,0.618686175,0.562130178,0.365079365,0
5.85084E-3,45.868345382,0.623284086,0.49112426,0.46031746,0
5.87399E-3,46.455744154,0.624736375,0.485207101,0.46031746,0
5.92966E-3,47.048710056,0.628206151,0.479289941,0.484126984,0
5.92966E-3,49.420573664,0.628206151,0.449704142,0.484126984,0
5.95312E-3,50.015885631,0.629658735,0.449704142,0.523809524,0
6.00954E-3,50.616839726,0.633128911,0.443786982,0.523809524,0
6.00954E-3,54.222564299,0.633128911,0.402366864,0.523809524,0
6.01746E-3,54.824309908,0.633613122,0.402366864,0.579365079,0
6.04126E-3,58.437164362,0.635065734,0.366863905,0.626984127,0
6.04922E-3,62.062718515,0.635549929,0.331360947,0.674603175,0
6.04922E-3,63.877484821,0.635549929,0.307692308,0.674603175,0
6.06517E-3,64.484001453,0.636518301,0.307692308,0.706349206,0
6.07849E-3,65.091850068,0.637325254,0.301775148,0.73015873,0
6.24884E-3,66.324583074,0.647489388,0.289940828,0.746031746,0
6.26257E-3,66.950839787,0.648295657,0.284023669,0.746031746,0
6.31915E-3,67.582754602,0.651600487,0.278106509,0.746031746,0
6.38324E-3,68.221078404,0.655306407,0.272189349,0.746031746,0
6.41693E-3,68.862771789,0.657238989,0.266272189,0.746031746,0
6.41975E-3,69.504746773,0.657400006,0.26035503,0.746031746,0
6.48202E-3,70.152948321,0.660941045,0.25443787,0.746031746,0
6.4991E-3,72.099261576,0.661906314,0.236686391,0.76984127,0
6.50766E-3,72.750027727,0.662388869,0.230769231,0.777777778,0
6.65054E-3,84.478106235,0.670342471,0.124260355,0.920634921,0
6.75642E-3,85.153747911,0.676115253,0.118343195,0.920634921,0
6.77423E-3,85.831170528,0.677076298,0.112426036,0.920634921,0
6.79208E-3,86.510378779,0.678037014,0.106508876,0.920634921,0
7.04707E-3,87.215085823,0.691448239,0.100591716,0.920634921,0
7.22394E-3,87.937480146,0.700421397,0.094674556,0.920634921,0
7.30041E-3,90.834704312,0.704219582,0.071005917,0.952380952,0
7.42966E-3,93.037753005,0.710530283,0.053254438,0.976190476,0
7.44108E-3,93.781861075,0.711081242,0.047337278,0.976190476,0
7.50008E-3,94.531868908,0.713911483,0.041420118,0.976190476,0
8.05963E-3,95.337831608,0.739413295,0.035502959,0.976190476,0
8.71811E-3,96.2096424,0.766527963,0.029585799,0.976190476,0
8.87051E-3,97.09669365,0.772390311,0.023668639,0.976190476,0
9.67769E-3,98.064462433,0.801071002,0.017751479,0.976190476,0
