X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
-76.5972,3.5895,train,0.0016972710192698095,27.644436872710536,0.42792036157656355
-76.08,5.1832,train,0.0019284356405381354,34.18678710974246,0.45942599953186575
-75.5716,4.7255,train,0.002593202226884501,49.496514927536715,0.5333331639607576
-75.952,5.2037,train,0.0020713342935442143,38.39512398220168,0.4772233255594497
-76.4311,3.8687,train,0.0015273566698113395,23.289185344732832,0.40231603131679305
-76.6333,3.5,train,0.0015825154171790097,24.5379053709579,0.41087553000580523
-75.891,5.3731,train,0.002096948098551263,38.80995837605441,0.480290273548737
-76.296,4.7415,train,0.0020125828602818815,36.555622698601674,0.47004992820203934
-75.6321,4.6302,train,0.002551289556792235,49.23710048826844,0.5292755164154888
-75.1169,5.4721,train,0.001971030559151922,35.35209935515849,0.4648564828131808
-76.5886,3.8818,train,0.0021668534269748928,40.60810037426747,0.488480364046763
-76.4763,4.0109,train,0.0021510558124558997,39.8771922526612,0.4866521762192913
-75.1251,6.9862,train,0.0013646431119249173,19.09291332803749,0.37555229850714233
-75.15,7.07,train,0.0011950755492851082,14.148999438801349,0.3449858636381082
-76.654,3.3306,train,0.0012922254972369586,16.837126802051475,0.3628543287137246
-76.5833,3.6833,train,0.0015633120203248723,24.065954875068837,0.40792351748103794
-76.1939,3.8609,train,0.001302583284948389,17.35593289567907,0.3647020584845222
-75.0994,6.8178,train,0.0012181735407028166,14.839378083488462,0.3493244142272929
-76.1368,4.5529,train,0.001233950805794437,15.395577386534487,0.3522550076067947
-75.5409,4.9516,train,0.0020717706491027474,38.60028480761861,0.47727587698754587
-76.2417,6.5866,train,0.002004839586805025,35.799004613853754,0.4690897852460212
-76.9149,2.519,train,0.0022282966658338935,42.066425435442525,0.4954687954709138
-76.0833,5.04,train,0.0033454354740994076,70.01661035980563,0.5958575204107229
-75.4967,4.763,train,0.0049351512650282585,99.49403169982868,0.6850376177564647
-75.8846,5.5046,train,0.0025221297928101644,48.72737790250262,0.526410626048308
-75.4827,5.1038,train,0.00334072306432185,69.68260479160608,0.5955180265016515
-75.4007,7.0598,train,0.0015921692289023808,24.85574240203763,0.41234845636232254
-77.064,2.5077,train,0.0011848165786524298,13.756803127103954,0.34304028645940554
-76.2555,4.5653,train,0.001709493791022778,27.939878471889966,0.4296778872125336
-75.897,4.2254,train,0.0016378675660253153,26.30513607879062,0.41922207831389774
-76.169,3.623,train,0.0011930189724435715,14.052274469447893,0.3445967652245701
-76.0764,4.0107,train,0.0015476017743626031,23.598761221144706,0.4054863921663029
-74.2564,4.2777,train,0.004080684153506984,89.45378024209407,0.642653977362052
-74.1493,4.7303,train,0.0030139465865802384,61.843293425258494,0.570499061400845
-74.2045,4.603,train,0.003083697889997501,64.27702002148487,0.5760958560480538
-74.3703,3.7925,train,0.004441653236427956,95.359656440981,0.6618756288638514
-74.1174,4.3766,train,0.00357319885396355,77.97744948376672,0.6116132344122446
-74.1918,3.9442,train,0.004469288835619952,96.2527435918592,0.663262360071995
-74.0895,3.9689,train,0.003942140038746709,86.24612187559995,0.6346831762399745
-74.2773,4.6915,train,0.0030149345886331005,62.44663673919599,0.5705793696457757
-74.2025,4.3434,train,0.003728947177226319,82.0009710746482,0.6216983595809639
-74.2535,4.1021,train,0.004567531874755826,98.05903227865265,0.6681013443543682
-75.0444,5.5234,train,0.0013081179298184756,17.61705207284345,0.36568499949509325
-72.9201,5.5898,train,0.0037304013865735947,82.37444453629095,0.6217900562088512
-72.9353,5.4908,train,0.0038512353707916168,83.51024951702689,0.6292571244141052
-72.7928,5.6338,train,0.003898620740733766,84.674076027466,0.6321054895592632
-72.5441,5.8511,train,0.004171689227114887,91.51656724811068,0.6477031312420651
-73.769,5.461,train,0.0029306221859019006,59.17023724992939,0.563616342071408
-72.7133,5.861,train,0.0037787489358502096,83.12514199728048,0.6248135550930383
-72.7341,5.7451,train,0.004087802134486225,89.86234816403413,0.6430541094936181
-74.0221,4.8711,train,0.0031235902391580275,65.82886063119177,0.5792317079533792
-72.2593,6.4649,train,0.005059734378902186,100.0,0.690391708367461
-73.8528,5.2463,train,0.0037156058060806873,81.62809803585726,0.6208550262619053
