X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
-74.2564,4.2777,train,0.016350235999964446,66.00314742064405,0.6041810557906488
-74.1493,4.7303,train,0.004964821055026139,15.835713620120302,0.31670670662610384
-72.9201,5.5898,train,0.011725540125468092,50.26471032694686,0.5225956159456944
-72.9353,5.4908,train,0.013351903416681134,54.01497832036653,0.554861642517403
-72.7928,5.6338,train,0.014045827079018535,56.75384215957255,0.5673383954302352
-74.2045,4.603,train,0.005346099231672827,17.95574006818645,0.3329310210092088
-73.769,5.461,train,0.004468080509321612,11.563747832992933,0.29434655542007576
-74.3703,3.7925,train,0.022727404873469605,83.11236093460346,0.6796679262918597
-74.1174,4.3766,train,0.00971469154914135,40.48158514781267,0.47559790677228236
-72.7341,5.7451,train,0.01705359300461177,69.40831047661052,0.6142080790788128
-74.0221,4.8711,train,0.005703934673801214,20.180719224214826,0.3474721999675776
-74.1918,3.9442,train,0.023444786241367113,85.45677866849192,0.6863958160755128
-74.0895,3.9689,train,0.014310057616027065,58.184471825449705,0.5719073374845717
-74.2773,4.6915,train,0.004945267471552151,15.339221242454272,0.31585335263718806
-74.2025,4.3434,train,0.011381563971215078,47.94737745139907,0.515162733998939
-74.2535,4.1021,train,0.025489537005752783,90.4076933748162,0.7041091482686536
-73.8528,5.2463,train,0.011431998855359412,49.09071345364707,0.5162670140490362
-72.5441,5.8511,train,0.018414317380682783,73.05661618283192,0.6322317808315135
-72.7133,5.861,train,0.012392334817195117,52.67845368475057,0.536373831648149
-72.2593,6.4649,train,0.03814827388916123,99.99998676934052,0.7807693142639105
