Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
3.06503E-3,0.306503201,0.356977705,1,0,0
3.09523E-3,0.616026546,0.359769474,0.993464052,0,0
3.14447E-3,0.930473543,0.36429485,0.986928105,0,0
3.14594E-3,1.245067428,0.364429364,0.980392157,0,0
3.16037E-3,1.561104135,0.365749125,0.973856209,0,0
3.22567E-3,1.883670704,0.371687864,0.967320261,0,0
3.35971E-3,2.21964176,0.383705229,0.960784314,0,0
3.50521E-3,2.570163089,0.396489795,0.954248366,0,0
3.58633E-3,2.928796529,0.403501981,0.947712418,0,0
3.61188E-3,3.289984327,0.405693082,0.941176471,0,0
3.76162E-3,3.666146435,0.418376951,0.934640523,0,0
3.95396E-3,4.061542309,0.43427241,0.928104575,0,0
4.03603E-3,4.465145411,0.440922218,0.921568627,0,0
4.08876E-3,4.8740216,0.445153373,0.91503268,0,0
4.18261E-3,5.292282249,0.452604466,0.908496732,0,0
4.24319E-3,5.716601417,0.457361586,0.901960784,0,0
4.25947E-3,6.14254833,0.458632623,0.895424837,0,0
4.35723E-3,6.578271507,0.466204097,0.888888889,0,0
4.58173E-3,7.036445002,0.483192933,0.882352941,0,0
4.58644E-3,7.495089375,0.48354341,0.875816993,0.007936508,0
4.5873E-3,7.95381945,0.483607173,0.869281046,0.007936508,0
4.5873E-3,8.871279601,0.483607173,0.849673203,0.007936508,0
4.60791E-3,9.332070541,0.485138103,0.849673203,0.031746032,0
4.63683E-3,9.79575355,0.48727885,0.843137255,0.031746032,0
4.64984E-3,10.260737431,0.488238869,0.836601307,0.031746032,0
4.64984E-3,10.725721313,0.488238869,0.823529412,0.031746032,0
4.69259E-3,11.194980086,0.491381012,0.823529412,0.047619048,0
4.70312E-3,11.66529176,0.492151953,0.816993464,0.055555556,0
4.71631E-3,12.13692282,0.493116367,0.810457516,0.055555556,0
4.75123E-3,12.612046161,0.495660242,0.803921569,0.055555556,0
4.87893E-3,13.099938924,0.50485364,0.797385621,0.063492063,0
4.87893E-3,14.07572445,0.50485364,0.777777778,0.063492063,0
4.89399E-3,14.56512302,0.505926646,0.777777778,0.087301587,0
4.96349E-3,15.061471548,0.510848985,0.77124183,0.095238095,0
5.03915E-3,15.565386086,0.516151909,0.764705882,0.095238095,0
5.04809E-3,16.070195473,0.516775283,0.758169935,0.103174603,0
5.04809E-3,19.60386118,0.516775283,0.705882353,0.103174603,0
5.17554E-3,20.121415533,0.52556707,0.705882353,0.166666667,0
5.21776E-3,20.643191848,0.528444066,0.699346405,0.166666667,0
5.2741E-3,21.170601809,0.532255881,0.692810458,0.166666667,0
5.29433E-3,21.700034984,0.533617288,0.68627451,0.166666667,0
5.32955E-3,22.232990076,0.535977714,0.679738562,0.166666667,0
5.44221E-3,23.310166132,0.543448294,0.666666667,0.182539683,0
5.44221E-3,23.854387096,0.543448294,0.653594771,0.182539683,0
5.47177E-3,24.401563747,0.545388261,0.653594771,0.198412698,0
