x,y,species cloglog values
1.0,1.0,0.49311638
2.0,2.0,0.36442935
3.0,3.0,0.37168786
4.0,4.0,0.6772774
5.0,5.0,0.48319292
6.0,6.0,0.45260447
7.0,7.0,0.4342724
8.0,8.0,0.52844405
9.0,9.0,0.7160465
10.0,10.0,0.5954168
11.0,11.0,0.40569308
12.0,12.0,0.7445183
13.0,13.0,0.5322559
14.0,14.0,0.83153695
15.0,15.0,0.6291617
16.0,16.0,0.65258056
17.0,17.0,0.6774137
18.0,18.0,0.41837695
19.0,19.0,0.44092223
20.0,20.0,0.48727885
21.0,21.0,0.3964898
22.0,22.0,0.4835434
23.0,23.0,0.71794796
24.0,24.0,0.53361726
25.0,25.0,0.70451725
26.0,26.0,0.36574912
27.0,27.0,0.4662041
28.0,28.0,0.70145315
29.0,29.0,0.63840264
30.0,30.0,0.49215195
31.0,31.0,0.45736158
32.0,32.0,0.8294016
33.0,33.0,0.48513812
34.0,34.0,0.52556705
35.0,35.0,0.38370523
36.0,36.0,0.4451534
37.0,37.0,0.403502
38.0,38.0,0.5453883
39.0,39.0,0.6708967
40.0,40.0,0.5469619
41.0,41.0,0.36429486
42.0,42.0,0.71948063
43.0,43.0,0.45863262
44.0,44.0,0.510849
45.0,45.0,0.35976946
46.0,46.0,0.3569777
47.0,47.0,0.56395644
48.0,48.0,0.56064683
49.0,49.0,0.96489155
50.0,50.0,0.84671104
51.0,51.0,0.8322647
