X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
-74.2564,4.2777,train,0.01576187778572504,68.1495843775308,0.609199002598848
-74.1493,4.7303,train,0.005271259559704319,17.7360971408867,0.3426789909006689
-72.9201,5.5898,train,0.011612142724896371,52.81916618546055,0.5345457779020543
-72.9353,5.4908,train,0.013084390452348924,56.51195174577174,0.5640885795367764
-72.7928,5.6338,train,0.0137080383916242,59.19172953733524,0.5755018243117535
-74.2045,4.603,train,0.005642155280110537,19.97506178020228,0.35815486380705736
-73.769,5.461,train,0.0047845395525283945,13.184062178970558,0.3212010093826106
-74.3703,3.7925,train,0.021332845738904243,84.43861869078329,0.678437454108819
-74.1174,4.3766,train,0.00976846836747076,43.07152199155155,0.4913788470188594
-72.7341,5.7451,train,0.016383934245654753,71.42211704518023,0.6183742689761836
-74.0221,4.8711,train,0.005988298530630919,22.31571131793754,0.37195466036592517
-74.1918,3.9442,train,0.021950884312193473,86.63348897413377,0.684635984584964
-74.0895,3.9689,train,0.013944847323772675,60.586122010797915,0.5796805985533087
-74.2773,4.6915,train,0.005252177625793416,17.208974722993695,0.34186257387404156
-74.2025,4.3434,train,0.011298709587958467,50.52207536226762,0.5277317135490279
-74.2535,4.1021,train,0.023704246139221667,91.24846051525891,0.7009878778453901
-73.8528,5.2463,train,0.011344713627423314,51.656369441603005,0.5287443112117554
-72.5441,5.8511,train,0.017581561047799087,74.90693676917033,0.6348783848532656
-72.7133,5.861,train,0.012217631485958036,55.20357464121511,0.547167432137716
-72.2593,6.4649,train,0.03433642486977934,100.0,0.7725135768195295
