Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
4.72752E-3,0.472751913,0.499630891,1,0,0
4.72854E-3,0.945606326,0.499706004,0.993288591,0,0
4.76538E-3,1.422144135,0.502397739,0.986577181,0,0
4.76992E-3,1.899136617,0.502728997,0.979865772,0,0
4.91113E-3,2.390249977,0.512907903,0.973154362,0,0
4.94253E-3,2.884502918,0.515142577,0.966442953,0,0
4.95132E-3,3.379635058,0.515766529,0.959731544,0,0
4.96594E-3,3.876228903,0.516802099,0.953020134,0,0
4.99595E-3,4.375824048,0.518921484,0.946308725,0,0
5.09437E-3,4.885260634,0.525806072,0.939597315,0,0
5.15211E-3,5.400471502,0.529799523,0.932885906,0,0
5.31706E-3,5.932177843,0.541023369,0.926174497,0,0
5.34039E-3,6.466217255,0.542589061,0.919463087,0,0
5.34781E-3,7.000997982,0.543085429,0.912751678,0,0
5.39695E-3,7.540692665,0.546362108,0.906040268,0,0
5.4331E-3,8.084002294,0.548757582,0.899328859,0,0
5.51377E-3,8.635378983,0.554057775,0.89261745,0,0
5.52837E-3,9.188215639,0.555010322,0.88590604,0,0
5.53676E-3,9.74189171,0.555557073,0.879194631,0,0
5.56781E-3,10.298672653,0.557573592,0.872483221,0,0
5.57071E-3,10.855743331,0.557761298,0.865771812,0,0
5.63019E-3,11.418761957,0.561597161,0.859060403,0,0
5.63067E-3,11.981829417,0.561628517,0.852348993,0.007936508,0
5.63287E-3,12.545116572,0.56176955,0.845637584,0.007936508,0
5.63336E-3,13.108452585,0.561800908,0.838926174,0.007936508,0
5.6652E-3,14.80164421,0.563839384,0.818791946,0.031746032,0
5.66888E-3,15.368532337,0.564074742,0.812080537,0.031746032,0
5.69302E-3,15.93783386,0.565612907,0.805369128,0.047619048,0
5.72593E-3,16.510427151,0.567702151,0.798657718,0.055555556,0
5.79686E-3,17.090113371,0.572169855,0.791946309,0.063492063,0
5.80516E-3,18.830001863,0.572689523,0.771812081,0.087301587,0
5.87147E-3,19.41714878,0.576819391,0.765100671,0.095238095,0
5.88446E-3,20.005595227,0.577624081,0.758389262,0.095238095,0
5.88931E-3,20.59452652,0.577923913,0.751677852,0.103174603,0
5.90516E-3,25.307561852,0.578902598,0.697986577,0.166666667,0
5.93339E-3,25.90090072,0.580639846,0.691275168,0.166666667,0
5.95787E-3,26.4966881,0.582141053,0.684563758,0.166666667,0
5.99154E-3,27.095842461,0.584196609,0.677852349,0.166666667,0
6.01027E-3,27.696869816,0.5853357,0.67114094,0.166666667,0
6.03953E-3,28.300822329,0.587108443,0.66442953,0.166666667,0
6.08974E-3,29.513748698,0.590133888,0.651006711,0.182539683,0
6.09846E-3,30.123594358,0.590656903,0.644295302,0.182539683,0
6.12628E-3,31.34606783,0.592321515,0.630872483,0.198412698,0
6.15529E-3,32.574225058,0.594050389,0.617449664,0.214285714,0
6.15823E-3,33.19004805,0.594224901,0.610738255,0.222222222,0
6.17775E-3,33.807822908,0.595383264,0.604026846,0.222222222,0
6.21886E-3,34.42970876,0.597812185,0.597315436,0.23015873,0
6.23397E-3,35.053106112,0.598701562,0.590604027,0.253968254,0
6.24236E-3,35.677341774,0.599193982,0.583892617,0.253968254,0
6.28362E-3,36.305704198,0.601609228,0.577181208,0.261904762,0
6.36726E-3,36.942429704,0.606459298,0.570469799,0.277777778,0
6.38439E-3,40.764496355,0.607445778,0.530201342,0.325396825,0
6.48396E-3,43.966649175,0.613129118,0.496644295,0.365079365,0
6.54326E-3,44.620975091,0.616474423,0.489932886,0.365079365,0
6.64934E-3,45.285909348,0.622387341,0.483221477,0.365079365,0
6.68808E-3,45.954717362,0.624523714,0.476510067,0.365079365,0
6.74661E-3,46.62937834,0.627728712,0.469798658,0.46031746,0
6.79298E-3,48.65799801,0.63024829,0.44966443,0.484126984,0
6.80359E-3,50.017654405,0.63082241,0.436241611,0.5,0
6.88398E-3,53.427487595,0.635144117,0.402684564,0.53968254,0
6.88458E-3,58.246336562,0.635175993,0.355704698,0.595238095,0
6.91899E-3,58.938235407,0.637009862,0.348993289,0.619047619,0
6.99286E-3,63.097016009,0.640916259,0.308724832,0.666666667,0
7.01442E-3,63.79845801,0.642048171,0.302013423,0.698412698,0
7.14609E-3,64.513066709,0.648884929,0.295302013,0.746031746,0
7.16812E-3,65.229878264,0.650015934,0.288590604,0.746031746,0
7.17185E-3,65.94706277,0.650207057,0.281879195,0.746031746,0
7.48536E-3,66.695598623,0.665905765,0.275167785,0.746031746,0
7.49997E-3,67.445596094,0.666620208,0.268456376,0.746031746,0
7.54007E-3,68.199603231,0.66857231,0.261744966,0.753968254,0
7.59782E-3,70.467399371,0.671363663,0.241610738,0.777777778,0
7.63182E-3,84.146872987,0.672996126,0.120805369,0.920634921,0
7.74077E-3,84.920950214,0.67817295,0.11409396,0.920634921,0
7.97477E-3,85.718427046,0.68901571,0.10738255,0.920634921,0
8.60142E-3,86.57856923,0.716287756,0.100671141,0.920634921,0
8.6703E-3,87.445599613,0.719135654,0.093959732,0.920634921,0
8.67745E-3,90.047405181,0.719429386,0.073825503,0.944444444,0
8.72951E-3,93.523591015,0.721560829,0.046979866,0.976190476,0
9.60136E-3,94.483727502,0.754939457,0.040268456,0.976190476,0
9.63054E-3,95.446781943,0.755984548,0.033557047,0.976190476,0
9.63388E-3,96.410170402,0.756103894,0.026845638,0.976190476,0
1.19661E-2,97.606780268,0.826676813,0.020134228,0.976190476,0
