x,y,species cloglog values
1.0,1.0,0.5853357
2.0,2.0,0.5297995
3.0,3.0,0.58063984
4.0,4.0,0.56176955
5.0,5.0,0.59422493
6.0,6.0,0.61647445
7.0,7.0,0.60160923
8.0,8.0,0.64888495
9.0,9.0,0.5540578
10.0,10.0,0.5575736
11.0,11.0,0.5978122
12.0,12.0,0.65020704
13.0,13.0,0.6409163
14.0,14.0,0.65001595
15.0,15.0,0.5616285
16.0,16.0,0.5550103
17.0,17.0,0.635176
18.0,18.0,0.5463621
19.0,19.0,0.5768194
20.0,20.0,0.75598454
21.0,21.0,0.51514256
22.0,22.0,0.61312914
23.0,23.0,0.5677022
24.0,24.0,0.72156084
25.0,25.0,0.5023977
26.0,26.0,0.62238735
27.0,27.0,0.6245237
28.0,28.0,0.54258907
29.0,29.0,0.52580607
30.0,30.0,0.67817295
31.0,31.0,0.71628773
32.0,32.0,0.6729961
33.0,33.0,0.6659058
34.0,34.0,0.5189215
35.0,35.0,0.5789026
36.0,36.0,0.5577613
37.0,37.0,0.56407475
38.0,38.0,0.4996309
39.0,39.0,0.5901339
40.0,40.0,0.5129079
41.0,41.0,0.6420482
42.0,42.0,0.6890157
43.0,43.0,0.5168021
44.0,44.0,0.499706
45.0,45.0,0.5410234
46.0,46.0,0.7561039
47.0,47.0,0.5841966
48.0,48.0,0.58214104
49.0,49.0,0.502729
50.0,50.0,0.59870154
51.0,51.0,0.5555571
52.0,52.0,0.5157665
53.0,53.0,0.5638394
54.0,54.0,0.75493944
55.0,55.0,0.54875755
56.0,56.0,0.54308546
57.0,57.0,0.57268953
