X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,0.006688080142127579,45.9547190002698,0.6245237138671687
2.0,2.0,train,0.007597818674719418,70.46734732829543,0.6713636628914217
3.0,3.0,train,0.006883984734509184,53.46551240281762,0.6351441170762954
4.0,4.0,train,0.006126278105145784,31.34598456583711,0.5923215147676331
5.0,5.0,train,0.00691898844746833,58.93820418947982,0.6370098618618583
6.0,6.0,train,0.006688080142127579,45.9547190002698,0.6245237138671687
7.0,7.0,train,0.006803586791439462,50.01724323253496,0.630822409811459
8.0,8.0,train,0.006883984734509184,53.46551240281762,0.6351441170762954
9.0,9.0,train,0.0075400713642171735,68.19965680271324,0.6685723096442218
10.0,10.0,train,0.00674660977567268,46.62937575423392,0.6277287115523014
11.0,11.0,train,0.007597818674719418,70.46734732829543,0.6713636628914217
12.0,12.0,train,0.006803586791439462,50.01724323253496,0.630822409811459
13.0,13.0,train,0.006883984734509184,53.46551240281762,0.6351441170762954
14.0,14.0,train,0.006688080142127579,45.9547190002698,0.6245237138671687
15.0,15.0,train,0.007014420008017535,63.79845805351333,0.6420481711507635
16.0,16.0,train,0.006992863780431108,63.09713900311693,0.6409162591583939
17.0,17.0,train,0.007597818674719418,70.46734732829543,0.6713636628914217
18.0,18.0,train,0.007597818674719418,70.46734732829543,0.6713636628914217
19.0,19.0,train,0.005889312927585467,20.595397044526273,0.5779239130689009
20.0,20.0,train,0.007597818674719418,70.46734732829543,0.6713636628914217
21.0,21.0,train,0.005889312927585467,20.595397044526273,0.5779239130689009
22.0,22.0,train,0.005633360127419744,13.108459360943575,0.5618009082834917
23.0,23.0,train,0.006177748584422875,33.80777810738742,0.5953832639854821
24.0,24.0,train,0.005796862205243874,17.09057564551061,0.5721698548899375
25.0,25.0,train,0.006126278105145784,31.34598456583711,0.5923215147676331
26.0,26.0,train,0.005668881268518191,15.36856225287978,0.564074742037704
27.0,27.0,train,0.006803586791439462,50.01724323253496,0.630822409811459
28.0,28.0,train,0.005693015237197808,15.937721537276657,0.565612907306776
29.0,29.0,train,0.007597818674719418,70.46734732829543,0.6713636628914217
30.0,30.0,train,0.006992863780431108,63.09713900311693,0.6409162591583939
31.0,31.0,train,0.007014420008017535,63.79845805351333,0.6420481711507635
32.0,32.0,train,0.005668881268518191,15.36856225287978,0.564074742037704
33.0,33.0,train,0.006884581267493341,58.24636204811387,0.6351759932658452
34.0,34.0,train,0.005889312927585467,20.595397044526273,0.5779239130689009
35.0,35.0,train,0.006792977154791552,48.6578735362924,0.6302482895513124
36.0,36.0,train,0.005633360127419744,13.108459360943575,0.5618009082834917
37.0,37.0,train,0.007597818674719418,70.46734732829543,0.6713636628914217
38.0,38.0,train,0.008677448011365642,90.04668153904964,0.7194293863407835
39.0,39.0,train,0.006688080142127579,45.9547190002698,0.6245237138671687
40.0,40.0,train,0.011966098660364419,97.60677958066297,0.8266768128511232
41.0,41.0,train,0.007597818674719418,70.46734732829543,0.6713636628914217
42.0,42.0,train,0.0075400713642171735,68.19965680271324,0.6685723096442218
43.0,43.0,train,0.006688080142127579,45.9547190002698,0.6245237138671687
44.0,44.0,train,0.006992863780431108,63.09713900311693,0.6409162591583939
45.0,45.0,train,0.006367255055212606,36.94239206085969,0.6064592982517265
46.0,46.0,train,0.005889312927585467,20.595397044526273,0.5779239130689009
47.0,47.0,train,0.007597818674719418,70.46734732829543,0.6713636628914217
48.0,48.0,train,0.011966098660364419,97.60677958066297,0.8266768128511232
49.0,49.0,train,0.006367255055212606,36.94239206085969,0.6064592982517265
50.0,50.0,train,0.005889312927585467,20.595397044526273,0.5779239130689009
51.0,51.0,train,0.008677448011365642,90.04668153904964,0.7194293863407835
52.0,52.0,train,0.006688080142127579,45.9547190002698,0.6245237138671687
53.0,53.0,train,0.007597818674719418,70.46734732829543,0.6713636628914217
54.0,54.0,train,0.005725932903003302,16.5104508762363,0.5677021505362473
55.0,55.0,train,0.005889312927585467,20.595397044526273,0.5779239130689009
56.0,56.0,train,0.0060984566086986014,30.123357182490864,0.5906569029419407
57.0,57.0,train,0.007014420008017535,63.79845805351333,0.6420481711507635
58.0,58.0,train,0.006883984734509184,53.46551240281762,0.6351441170762954
59.0,59.0,train,0.006688080142127579,45.9547190002698,0.6245237138671687
60.0,60.0,train,0.007499974708865345,67.44568463559794,0.6666202083035253
61.0,61.0,train,0.006367255055212606,36.94239206085969,0.6064592982517265
62.0,62.0,train,0.006688080142127579,45.9547190002698,0.6245237138671687
63.0,63.0,train,0.008670303831422834,87.44699382520442,0.7191356542757024
