X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
-74.2564,4.2777,train,0.01643762390210781,65.66619374423917,0.603315276603038
-74.1493,4.7303,train,0.0049161477935149986,15.555738912312155,0.3126520988333774
-72.9201,5.5898,train,0.011738390442160008,49.868033738518285,0.5206357580250649
-72.9353,5.4908,train,0.01338867057880104,53.6255734644188,0.5533299036394556
-72.7928,5.6338,train,0.014093598335118127,56.3741694436191,0.56597454447727
-74.2045,4.603,train,0.0052986798042743265,17.65679276132834,0.3289766714522891
-73.769,5.461,train,0.004418339880471142,11.328105669362957,0.29017984987959394
-74.3703,3.7925,train,0.022944932801073535,82.90093266624292,0.6797933662056833
-74.1174,4.3766,train,0.00970205939706026,40.08494572472595,0.4730420207036755
-72.7341,5.7451,train,0.017153941232871006,69.09166230442418,0.6134774266665937
-74.0221,4.8711,train,0.005658008975387124,19.863114059713826,0.3436201792406353
-74.1918,3.9442,train,0.02367855209415264,85.26852741142523,0.6866050252984693
-74.0895,3.9689,train,0.014362136856978645,57.81048122043934,0.5706051568419349
-74.2773,4.6915,train,0.004896539758139665,15.064178649484228,0.31179389782842193
-74.2025,4.3434,train,0.011389716588504049,47.55052059973636,0.5131060312344178
-74.2535,4.1021,train,0.025771127374537683,90.27239050290278,0.7045334155797854
-73.8528,5.2463,train,0.011440831962275603,48.69435846445376,0.5142246477269614
-72.5441,5.8511,train,0.018540794681815194,72.76348832205395,0.6317423165016255
-72.7133,5.861,train,0.012414659531491453,52.286668666187154,0.5345954427737326
-72.2593,6.4649,train,0.03876832436619896,100.0,0.7819947313503526
