Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
5.18435E-4,0.051843458,0.124535243,1,0,0
5.24764E-4,0.104319903,0.125864386,0.996865204,0,0
5.33986E-4,0.211081546,0.12779343,0.990595611,0,0
5.45045E-4,0.319319402,0.130095753,0.984326019,0,0
5.48437E-4,0.428836781,0.130799469,0.978056426,0,0
5.62606E-4,0.540200141,0.133726887,0.971786834,0,0
5.69335E-4,0.653874151,0.1351102,0.965517241,0,0
5.80559E-4,0.711930085,0.13740791,0.962382445,0,0
5.98407E-4,0.771770821,0.141036431,0.959247649,0,0
6.1679E-4,0.833449852,0.144741931,0.956112853,0,0
6.18895E-4,0.957227386,0.145164096,0.94984326,0,0
6.26246E-4,1.019852029,0.146635602,0.946708464,0,0
6.42851E-4,1.146887908,0.149940635,0.940438871,0,0
6.89298E-4,1.215817727,0.159051012,0.937304075,0,0
6.95882E-4,1.354461543,0.160326558,0.931034483,0,0
7.00509E-4,1.424512409,0.161220717,0.927899687,0,0
7.27178E-4,1.569212799,0.16633764,0.921630094,0,0
7.45338E-4,1.791087447,0.16978632,0.912225705,0,0
7.80623E-4,2.02151673,0.176406309,0.902821317,0,0
8.021E-4,2.259084077,0.180384262,0.893416928,0,0
8.53304E-4,2.512246623,0.189714759,0.884012539,0,0
9.20999E-4,2.781414003,0.201729231,0.87460815,0,0
9.61683E-4,3.066360125,0.208780012,0.865203762,0,0
1.01205E-3,3.264179047,0.21733789,0.858934169,0,0
1.03836E-3,3.572721389,0.221734817,0.849529781,0,0
1.05158E-3,3.78221851,0.223926479,0.843260188,0,0
1.12539E-3,4.106897818,0.235935518,0.833855799,0,0
1.1479E-3,4.334758893,0.239523349,0.827586207,0,0
1.16733E-3,4.566293023,0.242594885,0.821316614,0,0
1.22914E-3,4.809426987,0.252201185,0.815047022,0,0
1.25264E-3,5.057790864,0.25578834,0.808777429,0,0
1.29202E-3,5.313068197,0.261726017,0.802507837,0,0
1.33427E-3,5.577700031,0.267991309,0.796238245,0,0
1.37987E-3,5.853447611,0.274634832,0.789968652,0,0
1.42313E-3,6.137881611,0.280826107,0.78369906,0,0
1.42605E-3,6.280487055,0.28124119,0.780564263,0,0
1.46459E-3,6.572351301,0.286661958,0.774294671,0,0
1.52075E-3,6.873271796,0.294418516,0.768025078,0,0
1.52407E-3,7.025678854,0.294871591,0.764890282,0,0
1.54477E-3,7.333480476,0.297684583,0.75862069,0,0
1.58138E-3,7.647093958,0.302604351,0.752351097,0,0
1.60895E-3,7.807988976,0.306264255,0.749216301,0,0
1.62337E-3,8.1315294,0.308162924,0.742946708,0,0
1.67073E-3,8.298602121,0.314327272,0.739811912,0,0
1.75748E-3,8.64195504,0.325339068,0.73354232,0,0
1.76346E-3,8.818301122,0.326084878,0.730407524,0,0
1.77559E-3,9.172246488,0.32759299,0.724137931,0,0
1.77597E-3,9.349843559,0.327640199,0.721003135,0,0
1.78234E-3,9.528077579,0.328429346,0.717868339,0,0
1.8421E-3,9.895760803,0.335744284,0.711598746,0,0
1.86449E-3,10.08221011,0.338444107,0.70846395,0,0
1.8721E-3,10.269419862,0.339356037,0.705329154,0,0
1.93697E-3,10.651300989,0.347035087,0.699059561,0,0
1.9669E-3,10.847990641,0.350516924,0.695924765,0.03030303,0
1.99472E-3,11.047463042,0.353721872,0.692789969,0.03030303,0
2.13682E-3,11.26114478,0.369606057,0.689655172,0.03030303,0
2.17394E-3,11.693626394,0.373627721,0.68338558,0.03030303,0
2.21821E-3,11.915447163,0.378357609,0.680250784,0.03030303,0
2.22725E-3,12.138172502,0.379315272,0.677115987,0.03030303,0
2.23915E-3,12.362087304,0.38057007,0.673981191,0.03030303,0
2.29431E-3,12.591518476,0.386323736,0.670846395,0.03030303,0
2.30845E-3,12.822363283,0.387781015,0.667711599,0.03030303,0
2.32901E-3,13.055264447,0.389888547,0.664576803,0.03030303,0
2.33021E-3,13.288285299,0.390010767,0.661442006,0.03030303,0
2.34265E-3,13.522550165,0.391278202,0.65830721,0.03030303,0
2.34361E-3,13.756910854,0.391375611,0.655172414,0.03030303,0
2.35458E-3,14.226913973,0.392488621,0.648902821,0.060606061,0
2.36354E-3,14.463267569,0.393394454,0.645768025,0.060606061,0
2.36715E-3,14.699982259,0.393758814,0.642633229,0.060606061,0
2.37188E-3,14.937169825,0.394235307,0.639498433,0.060606061,0
2.4233E-3,15.17949942,0.399368719,0.636363636,0.060606061,0
2.46466E-3,15.425965447,0.403435501,0.63322884,0.060606061,0
2.49279E-3,15.675244159,0.406169513,0.630094044,0.060606061,0
2.52832E-3,15.928075988,0.409587633,0.626959248,0.060606061,0
2.54177E-3,16.182252857,0.410871323,0.623824451,0.060606061,0
2.55275E-3,16.437527395,0.411914796,0.620689655,0.060606061,0
2.57954E-3,16.69548118,0.414446305,0.617554859,0.060606061,0
2.59648E-3,16.955129599,0.416036272,0.614420063,0.060606061,0
2.59862E-3,17.21499162,0.416236069,0.611285266,0.060606061,0
2.63896E-3,17.478887313,0.419983535,0.60815047,0.060606061,0
