_id,species,taxonomicStatus,acceptedNameUsage,scientificNameAuthorship,kingdom,phylum,class,order,family,genus,specificEpithet,nameAccordingTo,taxVerifSource,sppInCol,recordsVisualizationPrivileges,speciesInCountry,validName,bmClass,invasive,endemic,iucn,cites,amenazaNacional,taxID,migratoryType,iucnSpeciesID,uploadUser,uploadDate
ObjectId(5925c566875e0e140c0029f3),Centrolene robledoi,pending,Centrolene robledoi,,Animalia,Chordata,Amphibia,Anura,Centrolenidae,Centrolene,robledoi,"Amphibian Species of the World, 2018.",Record author,false,0,true,true,anfibios,false,false,LC,,NE,952,,54938,jhan-uamoreno,2018-05-30T09:00:00.000Z
ObjectId(5925ca52875e0e140c003780),Centronia haemantha,pending,Meriania haemantha,,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Melastomataceae,Meriania,haemantha,"Bernal R, Gradstein SR, Celis M. (eds.). (2015). Catálogo de plantas y líquenes de Colombia. Instituto de Ciencias Naturales, Universidad Nacional de Colombia, Bogotá.",Record author,false,0,true,true,plantas,false,false,NE,,NE,953,,,jhan-uamoreno,2018-05-30T09:00:00.000Z
ObjectId(596d7598a7180311acf9f17a),Centropogon asclepiadeus,pending,Centropogon asclepiadeus,,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Campanulaceae,Centropogon,asclepiadeus,"Bernal R, Gradstein SR, Celis M. (eds.). (2015). Catálogo de plantas y líquenes de Colombia. Instituto de Ciencias Naturales, Universidad Nacional de Colombia, Bogotá.",Record author,false,0,true,true,plantas,false,true,NE,,NE,954,,,jhan-uamoreno,2018-05-30T09:00:00.000Z
ObjectId(596d7598a7180311acf9f17e),Centropogon cornutus,pending,Centropogon cornutus,,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Campanulaceae,Centropogon,cornutus,"Bernal R, Gradstein SR, Celis M. (eds.). (2015). Catálogo de plantas y líquenes de Colombia. Instituto de Ciencias Naturales, Universidad Nacional de Colombia, Bogotá.",Record author,false,0,true,true,plantas,false,false,NE,,NE,958,,,jhan-uamoreno,2018-05-30T09:00:00.000Z
ObjectId(596d7598a7180311acf9f181),Centropogon glabrifilis,pending,Centropogon glabrifilis,,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Campanulaceae,Centropogon,glabrifilis,"Bernal R, Gradstein SR, Celis M. (eds.). (2015). Catálogo de plantas y líquenes de Colombia. Instituto de Ciencias Naturales, Universidad Nacional de Colombia, Bogotá.",Record author,false,0,true,true,plantas,false,false,NE,,NE,961,,,jhan-uamoreno,2018-05-30T09:00:00.000Z
ObjectId(596d7598a7180311acf9f182),Centropogon glandulosus,pending,Centropogon glandulosus,,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Campanulaceae,Centropogon,glandulosus,"Bernal R, Gradstein SR, Celis M. (eds.). (2015). Catálogo de plantas y líquenes de Colombia. Instituto de Ciencias Naturales, Universidad Nacional de Colombia, Bogotá.",Record author,false,0,true,true,plantas,false,true,NE,,NE,962,,,jhan-uamoreno,2018-05-30T09:00:00.000Z
ObjectId(596d7598a7180311acf9f183),Centropogon grandis,pending,Centropogon grandis,,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Campanulaceae,Centropogon,grandis,"Bernal R, Gradstein SR, Celis M. (eds.). (2015). Catálogo de plantas y líquenes de Colombia. Instituto de Ciencias Naturales, Universidad Nacional de Colombia, Bogotá.",Record author,false,0,true,true,plantas,false,true,NE,,NE,963,,,jhan-uamoreno,2018-05-30T09:00:00.000Z
ObjectId(596d7598a7180311acf9f184),Centropogon granulosus,pending,Centropogon granulosus,,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Campanulaceae,Centropogon,granulosus,"Bernal R, Gradstein SR, Celis M. (eds.). (2015). Catálogo de plantas y líquenes de Colombia. Instituto de Ciencias Naturales, Universidad Nacional de Colombia, Bogotá.",Record author,false,0,true,true,plantas,false,false,NE,,NE,964,,,jhan-uamoreno,2018-05-30T09:00:00.000Z
ObjectId(596d7598a7180311acf9f185),Centropogon lehmannii,pending,Centropogon lehmannii,,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Campanulaceae,Centropogon,lehmannii,"Bernal R, Gradstein SR, Celis M. (eds.). (2015). Catálogo de plantas y líquenes de Colombia. Instituto de Ciencias Naturales, Universidad Nacional de Colombia, Bogotá.",Record author,false,0,true,true,plantas,false,false,NE,,NE,965,,,jhan-uamoreno,2018-05-30T09:00:00.000Z
ObjectId(596d7598a7180311acf9f186),Centropogon leucophyllus,pending,Centropogon leucophyllus,,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Campanulaceae,Centropogon,leucophyllus,"Bernal R, Gradstein SR, Celis M. (eds.). (2015). Catálogo de plantas y líquenes de Colombia. Instituto de Ciencias Naturales, Universidad Nacional de Colombia, Bogotá.",Record author,false,0,true,true,plantas,false,false,NE,,NE,966,,,jhan-uamoreno,2018-05-30T09:00:00.000Z
