X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
-76.5972,3.5895,train,0.0016099486533813236,24.463540610105923,0.40304537835504134
-76.08,5.1832,train,0.0018689983157101474,30.87525363209863,0.4394014476753654
-75.5716,4.7255,train,0.0026418736991316413,45.90236984670376,0.5256011348662171
-75.952,5.2037,train,0.0020318163609454017,34.801662508961826,0.4600691983299398
-76.4311,3.8687,train,0.0014232561292360619,20.324587590730324,0.3737770564322798
-76.6333,3.5,train,0.0014834961147611257,21.559196556979426,0.3835297937674108
-75.891,5.3731,train,0.0020612050761401107,35.29652930664535,0.46363844813033733
-76.296,4.7415,train,0.0019646383554705045,33.00359483173863,0.4517292982114806
-75.6321,4.6302,train,0.0025920485940044043,45.6380217911219,0.5208514737598072
-75.1169,5.4721,train,0.0019173248457297419,31.82986680868319,0.4456991729673196
-76.5886,3.8818,train,0.002141719235836097,37.117628234255214,0.4731794334130069
-76.4763,4.0109,train,0.0021234853690670573,36.26364384529161,0.4710485587544545
-75.1251,6.9862,train,0.001247726408740378,16.33974071322887,0.3435145172475878
-75.15,7.07,train,0.0010685310441996014,12.055173924613404,0.30944625479290255
-76.654,3.3306,train,0.0011707086486104053,14.511698570942322,0.32929288226957254
-76.5833,3.6833,train,0.0014624829022687794,21.050538737473577,0.3801624845109371
-76.1939,3.8609,train,0.0011816807961459058,14.866754665170182,0.3313564551495787
-75.0994,6.8178,train,0.0010927018090234292,12.596977768801224,0.3142464241501562
-76.1368,4.5529,train,0.0011092563721158911,13.096483087435628,0.3174957388326555
-75.5409,4.9516,train,0.0020323165153406856,35.00390028186883,0.46013033921437574
-76.2417,6.5866,train,0.00195580889579724,32.4150736358748,0.45061395792558706
-76.9149,2.519,train,0.002212849898726869,38.431355702494024,0.48133043436688666
-76.0833,5.04,train,0.0035576649957977545,67.2540691485277,0.5987141366929025
-75.4967,4.763,train,0.005603514375643902,99.4231001151301,0.7014892729075687
-75.8846,5.5046,train,0.002557465063752499,45.119675666575596,0.5174984331780829
-75.4827,5.1038,train,0.0035518100147062135,66.89821296035524,0.5983183493040795
-75.4007,7.0598,train,0.0014940760168317777,21.790617829906676,0.38521138393229715
-77.064,2.5077,train,0.001057820728859346,11.595035422140013,0.3072976973185363
-76.2555,4.5653,train,0.0016235041366621406,24.701282018718928,0.40506433471136744
-75.897,4.2254,train,0.0015443040358234061,23.15356081945586,0.39307116125861524
-76.169,3.623,train,0.001066382742143942,11.83240006733305,0.3090163609798502
-76.0764,4.0107,train,0.0014453243403724327,20.613886469536677,0.3773854671226793
-74.2564,4.2777,train,0.00448726750015246,88.25318698062232,0.6529994026016003
-74.1493,4.7303,train,0.003149291624636024,58.652715697422025,0.5691007838476625
-74.2045,4.603,train,0.003234619663410824,61.19864644384103,0.575644106075578
-74.3703,3.7925,train,0.004954452747819876,94.78461849211664,0.675088836113983
-74.1174,4.3766,train,0.0038422789836487312,75.76845271117571,0.6170561015334465
-74.1918,3.9442,train,0.004990491414753051,95.78264830765528,0.6766765460514964
-74.0895,3.9689,train,0.004309765653563674,84.7365460746853,0.6437985215289046
-74.2773,4.6915,train,0.0031504979619966797,59.28084948808144,0.5691946969364203
-74.2025,4.3434,train,0.00403868266811369,80.11277840081222,0.628765477289456
-74.2535,4.1021,train,0.005118909713991746,97.80218492967543,0.6822101083517762
-75.0444,5.5234,train,0.0011875497580204045,15.103955640110945,0.33245504874202975
-72.9201,5.5898,train,0.004040523085424707,80.51692265629626,0.628871815464959
-72.9353,5.4908,train,0.0041938667090820865,81.75003078884495,0.637522905434605
-72.7928,5.6338,train,0.004254223874240203,83.01900071218925,0.6408184261990292
-72.5441,5.8511,train,0.004604418594306255,90.52607731001274,0.6588159581883574
-73.769,5.461,train,0.003047795222731645,55.864609393680986,0.5610499275055749
-72.7133,5.861,train,0.0041017793224941285,81.33065442815789,0.6323767333164694
-72.7341,5.7451,train,0.004496414763758802,88.70295437786888,0.653460693112797
-74.0221,4.8711,train,0.003283567552260939,62.82811685645565,0.5793087207353257
-72.2593,6.4649,train,0.005769151246594941,100.0,0.7075533431391706
-73.8528,5.2463,train,0.004021803752787823,79.70841402162054,0.6277873742848303
