X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
-74.2564,4.2777,train,0.01535443501592057,69.53073242435667,0.6119655210084934
-74.1493,4.7303,train,0.005463091920397959,19.073831287002072,0.35943719783259276
-72.9201,5.5898,train,0.011509105160463766,54.494078240640405,0.5417316554222957
-72.9353,5.4908,train,0.01288105153712113,58.143081478888114,0.5695302254036247
-72.7928,5.6338,train,0.013459523539256052,60.77763665054783,0.5802657244765964
-74.2045,4.603,train,0.005825045512756617,21.38639396622894,0.3743369120006577
-73.769,5.461,train,0.0049858976077153385,14.345157489620913,0.33867394440677995
-74.3703,3.7925,train,0.020428774756649243,85.271712995643,0.677241118552826
-74.1174,4.3766,train,0.00977690555185048,44.79660819954574,0.5010501018226556
-72.7341,5.7451,train,0.015925517060485832,72.71152756265592,0.6206010266147635
-74.0221,4.8711,train,0.0061616292178539025,23.79793161630367,0.38758347824938744
-74.1918,3.9442,train,0.020986702400167166,87.37043054766183,0.6831024696002338
-74.0895,3.9689,train,0.013678785165564046,62.14527581155979,0.5841962288754673
-74.2773,4.6915,train,0.005444431902236767,18.527573982823736,0.35864980436836846
-74.2025,4.3434,train,0.01121579327792132,52.21703526423793,0.5353161647490309
-74.2535,4.1021,train,0.022564784082680287,91.76999627711137,0.6985847982491858
-73.8528,5.2463,train,0.011258872540186043,53.342240018228956,0.5362696503503513
-72.5441,5.8511,train,0.01702159583694737,76.0872682756468,0.6361424951517501
-72.7133,5.861,train,0.01207446779054525,56.854981308388396,0.5536107537677666
-72.2593,6.4649,train,0.032008132665133276,100.0,0.7667710025209603
