X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
-76.1025,5.24,train,0.009014026915750912,38.75255043401453,0.4772955692756563
-76.1713,6.0298,train,0.0066417666664845216,25.036861178755537,0.4022054418689176
-76.0472,5.7699,train,0.016663748798622792,74.40281664555192,0.6279829892514225
-76.0911,6.4317,train,0.022870599929702702,91.74468116067824,0.6985052535149013
-75.9014,5.515,train,0.015578745617044608,71.14825233753307,0.6121231020198167
-76.0261,5.6428,train,0.012240357058880158,54.589259435826506,0.5535627634432705
-76.0346,6.514,train,0.02018128390446376,87.3052655672392,0.671525659580385
-76.95,2.5333,train,0.012102411092457774,53.36570299814771,0.5507601703845704
-76.1438,4.9921,train,0.011210543566236263,50.972457747936595,0.5317553486128415
-76.2301,5.1383,train,0.00766336591409622,31.500275927655164,0.4370333628710464
-75.7966,5.5402,train,0.018874608046366884,83.35827849381167,0.6565946654523339
-76.1772,5.82,train,0.003118777484581087,7.3758178031487995,0.2400836351940622
-76.0797,5.122,train,0.02770944415742031,97.20265348680576,0.7373249850045869
