X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
-76.1025,5.24,train,0.008470140886455165,29.53875866949957,0.41419734364814453
-76.1713,6.0298,train,0.005604864346139559,17.374666907599728,0.31874338311275785
-76.0472,5.7699,train,0.01943938235172516,67.17011314857635,0.6187187347561748
-76.0911,6.4317,train,0.029825779467383677,88.50895956823913,0.7134471809050018
-75.9014,5.515,train,0.017747986347860307,63.4049436447836,0.5970250061786105
-76.0261,5.6428,train,0.012809749794281431,45.300150545135,0.516748483665531
-76.0346,6.514,train,0.025184782859039828,82.77887768957888,0.6776629672074339
-76.95,2.5333,train,0.012614956348614639,44.01843220514508,0.5129210092068427
-76.1438,4.9921,train,0.01137463650618412,41.533889843665925,0.4870525035220707
-76.2301,5.1383,train,0.00680102181946181,22.98435596634819,0.36213381843655823
-75.7966,5.5402,train,0.02300561417165781,77.89131023005062,0.6575850278498707
-76.1772,5.82,train,0.0020169628532276866,4.003837173801598,0.14410632850678656
-76.0797,5.122,train,0.03866188633191676,96.08301891230947,0.7634461456600589
