Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.67523E-3,0.267522611,0.442274765,1,0,0
2.69921E-3,0.537443408,0.4451864,0.995495495,0,0
2.70732E-3,0.808175173,0.44616755,0.990990991,0,0
2.72209E-3,1.080384477,0.447950698,0.986486486,0,0
2.72571E-3,1.352955793,0.44838671,0.981981982,0,0
2.73986E-3,1.626941548,0.450086982,0.977477477,0,0
2.76683E-3,1.903624648,0.453314899,0.972972973,0,0
2.77549E-3,2.181173859,0.454347352,0.968468468,0,0
2.79136E-3,2.460310276,0.456234332,0.963963964,0,0
2.79469E-3,2.739778931,0.456628493,0.959459459,0,0
2.90394E-3,3.030172909,0.469432124,0.954954955,0,0
2.91346E-3,3.321519152,0.470533707,0.95045045,0,0
2.98629E-3,3.620148367,0.478883381,0.945945946,0,0
3.04601E-3,3.924749233,0.485631332,0.941441441,0,0
3.10803E-3,4.235551805,0.492546765,0.936936937,0,0
3.11902E-3,4.547453959,0.493763154,0.932432432,0,0
3.14264E-3,4.861718128,0.496366232,0.927927928,0,0
3.24805E-3,5.186522777,0.507820277,0.923423423,0,0
3.2791E-3,5.514432718,0.511144767,0.918918919,0,0
3.30836E-3,5.845269014,0.514257134,0.914414414,0,0
3.48486E-3,6.193755151,0.532613166,0.90990991,0,0
3.49049E-3,6.542804067,0.533186908,0.905405405,0,0
3.58669E-3,6.90147271,0.542885848,0.900900901,0,0
3.63475E-3,7.264947433,0.547655752,0.896396396,0,0
3.65435E-3,7.630382897,0.549587408,0.891891892,0,0
3.67831E-3,7.99821423,0.551936545,0.887387387,0,0
3.76277E-3,8.374491185,0.560120143,0.882882883,0.00591716,0
3.78049E-3,8.752540017,0.561817987,0.878378378,0.00591716,0
3.81946E-3,9.134485806,0.565529101,0.873873874,0.01183432,0
3.82683E-3,9.517168377,0.566227204,0.869369369,0.01183432,0
3.8734E-3,9.904507967,0.570613872,0.864864865,0.01183432,0
3.87747E-3,10.292254494,0.570995071,0.86036036,0.017751479,0
3.88481E-3,10.680735039,0.571681809,0.855855856,0.017751479,0
3.90306E-3,11.071040704,0.573384606,0.851351351,0.017751479,0
3.99267E-3,11.470307917,0.581647818,0.846846847,0.017751479,0
4.04533E-3,11.874840976,0.586428465,0.842342342,0.017751479,0
4.06108E-3,12.280948596,0.587847306,0.837837838,0.023668639,0
4.06405E-3,12.687353756,0.588114872,0.833333333,0.029585799,0
4.06405E-3,13.500164075,0.588114872,0.81981982,0.029585799,0
4.09543E-3,13.909707294,0.590926259,0.81981982,0.047337278,0
4.10576E-3,14.320283229,0.591847265,0.815315315,0.047337278,0
