x,y,species cloglog values
1.0,1.0,0.4479507
2.0,2.0,0.50782025
3.0,3.0,0.54765576
4.0,4.0,0.64474946
5.0,5.0,0.44616756
6.0,6.0,0.5331869
7.0,7.0,0.789521
8.0,8.0,0.72398084
9.0,9.0,0.49376315
10.0,10.0,0.73288834
11.0,11.0,0.66558915
12.0,12.0,0.4483867
13.0,13.0,0.72765285
14.0,14.0,0.60825413
15.0,15.0,0.65436065
16.0,16.0,0.6577781
17.0,17.0,0.49254677
18.0,18.0,0.62457275
19.0,19.0,0.51114476
20.0,20.0,0.48563132
21.0,21.0,0.46943212
22.0,22.0,0.45623434
23.0,23.0,0.6819097
24.0,24.0,0.67349494
25.0,25.0,0.79981136
26.0,26.0,0.7021096
27.0,27.0,0.45434734
28.0,28.0,0.5733846
29.0,29.0,0.5495874
30.0,30.0,0.51425713
31.0,31.0,0.45008698
32.0,32.0,0.4533149
33.0,33.0,0.6387156
34.0,34.0,0.5655291
35.0,35.0,0.59316885
36.0,36.0,0.4566285
37.0,37.0,0.6479009
38.0,38.0,0.6264764
39.0,39.0,0.76017314
40.0,40.0,0.49636623
41.0,41.0,0.6943198
42.0,42.0,0.4451864
43.0,43.0,0.59184724
44.0,44.0,0.70256686
45.0,45.0,0.7204417
46.0,46.0,0.5709951
47.0,47.0,0.57061386
48.0,48.0,0.5662272
49.0,49.0,0.44227478
50.0,50.0,0.5716818
51.0,51.0,0.53261316
52.0,52.0,0.59092623
53.0,53.0,0.608452
54.0,54.0,0.56012017
55.0,55.0,0.5816478
56.0,56.0,0.6448602
57.0,57.0,0.6260748
58.0,58.0,0.4788834
59.0,59.0,0.6789075
60.0,60.0,0.689342
61.0,61.0,0.5943072
62.0,62.0,0.4705337
63.0,63.0,0.54288584
