"occ.ID","species","lon","lat"
137,"Chlorochrysa nitidissima",-76.6506,3.4217
139,"Chlorochrysa nitidissima",-76.2192,4.7022
140,"Chlorochrysa nitidissima",-75.5496,4.6891
141,"Chlorochrysa nitidissima",-76.1608,4.7693
142,"Chlorochrysa nitidissima",-75.5536,4.7125
144,"Chlorochrysa nitidissima",-75.5677,4.803
145,"Chlorochrysa nitidissima",-75.5848,4.7722
146,"Chlorochrysa nitidissima",-76.2555,4.5653
147,"Chlorochrysa nitidissima",-75.1337,7.0074
148,"Chlorochrysa nitidissima",-75.4859,4.711
149,"Chlorochrysa nitidissima",-76.6227,3.3786
150,"Chlorochrysa nitidissima",-75.897,4.2254
151,"Chlorochrysa nitidissima",-75.9069,4.2275
152,"Chlorochrysa nitidissima",-76.1739,3.8755
153,"Chlorochrysa nitidissima",-76.262,6.538
154,"Chlorochrysa nitidissima",-75.5991,4.7421
157,"Chlorochrysa nitidissima",-76.2807,4.6252
159,"Chlorochrysa nitidissima",-76.0212,5.1275
160,"Chlorochrysa nitidissima",-76.6206,3.3271
161,"Chlorochrysa nitidissima",-75.0463,5.4558
162,"Chlorochrysa nitidissima",-75.5893,4.7345
166,"Chlorochrysa nitidissima",-75.6105,4.784
168,"Chlorochrysa nitidissima",-76.2119,4.569
169,"Chlorochrysa nitidissima",-75.6069,4.7113
170,"Chlorochrysa nitidissima",-75.9461,5.1475
172,"Chlorochrysa nitidissima",-75.5343,4.9595
173,"Chlorochrysa nitidissima",-76.5986,3.5291
174,"Chlorochrysa nitidissima",-76.0963,5.2432
175,"Chlorochrysa nitidissima",-75.9079,5.3156
177,"Chlorochrysa nitidissima",-76.6345,3.4548
180,"Chlorochrysa nitidissima",-76.6556,3.2573
181,"Chlorochrysa nitidissima",-76.4912,4.0538
182,"Chlorochrysa nitidissima",-76.169,3.623
184,"Chlorochrysa nitidissima",-76.6442,3.3275
185,"Chlorochrysa nitidissima",-76.5698,3.6512
186,"Chlorochrysa nitidissima",-75.891,5.3633
187,"Chlorochrysa nitidissima",-75.4111,7.0235
188,"Chlorochrysa nitidissima",-75.4986,5.0759
189,"Chlorochrysa nitidissima",-76.6641,3.3323
190,"Chlorochrysa nitidissima",-76.2322,4.5634
191,"Chlorochrysa nitidissima",-76.5354,3.9062
193,"Chlorochrysa nitidissima",-76.6008,3.3063
194,"Chlorochrysa nitidissima",-76.6253,3.3704
195,"Chlorochrysa nitidissima",-76.6635,3.4422
196,"Chlorochrysa nitidissima",-75.5296,5.0674
197,"Chlorochrysa nitidissima",-75.4413,5.0695
198,"Chlorochrysa nitidissima",-75.0629,5.4515
199,"Chlorochrysa nitidissima",-76.5495,3.6454
200,"Chlorochrysa nitidissima",-75.5513,4.9976
201,"Chlorochrysa nitidissima",-75.0444,5.5234
204,"Chlorochrysa nitidissima",-75.6334,4.5914
205,"Chlorochrysa nitidissima",-75.0535,6.969
208,"Chlorochrysa nitidissima",-76.0764,4.0107
209,"Chlorochrysa nitidissima",-75.9776,5.1874
210,"Chlorochrysa nitidissima",-76.2177,4.8527
